song_id, similarity
TRWXGJB12903CCFE02, 1
TRKDLTP128F427F677, 0.19525699999999999
TRCIFAT128F42770AE, 0.16469300000000001
TRTRPMO128F14892C6, 0.088301099999999993
TRAPJBE12903CB8144, 0.084241099999999999
TRAJLVT12903CB8142, 0.083841899999999997
TRKECPV12903D05CE2, 0.083563799999999994
TRHBVDG128F1458D23, 0.077413800000000005
TRMJBNA128F1461674, 0.076507099999999995
TRXSLPM128E0782EE4, 0.0750638
TRZIVHE128F149DA3D, 0.073664599999999997
TRQEYHJ128F1480C2A, 0.072458599999999998
TRUXYPX128F426C2C1, 0.072310200000000005
TRSOIGV128F1480B63, 0.071892399999999995
