song_id, similarity
TRPHLNJ128F9348769, 1
TRVWNCB128F9343925, 1
TRJEHKO128F9342361, 0.969615
TRXCNMK128F9343935, 0.969615
TROPKKD128F428955E, 0.078576199999999999
TRLHJEY128F92FB0C7, 0.0069696899999999997
TRDFKDL128F4214579, 0.0045003500000000002
TRYYYVQ128F4264186, 0.0040333299999999999
TRNJMBU128EF361408, 0.00370046
TRZKOYI128F4271C3C, 0.0036202600000000001
TRKOKPL128F9303FB5, 0.0035074799999999999
TRVPAAA128F930EA88, 0.0030789099999999998
TRPVPSR128F429F629, 0.0029261999999999999
TREPBTJ128F4278331, 0.00288033
